"1 , 1 , 1215.1865040978355"
"1 , 2 , 445.30823679682294"
"1 , 3 , 777.1828270986153"
"1 , 4 , 74.08529529767038"
"1 , 5 , 94.69482036174091"
"1 , 6 , 3218.461575042577"
"1 , 7 , 1218.9801175893406"
"1 , 8 , 831.3825730354455"
"1 , 9 , 118.93321627981844"
"1 , 10 , 393.01217241613625"
"1 , 11 , 773.5792277251007"
"1 , 12 , 480.08763134916734"
"2 , 1 , 147.95110138659416"
"2 , 2 , 445.30823679682294"
"2 , 3 , 777.1828270986153"
"2 , 4 , 74.08529529767038"
"2 , 5 , 94.69482036174091"
"2 , 6 , 1552.687896580399"
"2 , 7 , 617.7967721330467"
"2 , 8 , 831.3825730354455"
"2 , 9 , 118.93321627981844"
"2 , 10 , 393.01217241613625"
"2 , 11 , 1700.9460394281214"
"2 , 12 , 85.43426052343133"
"3 , 1 , 100"
"3 , 2 , 3.358856925137739"
"3 , 3 , 109.971672377172"
"3 , 4 , 74.08529529767038"
"3 , 5 , 94.69482036174091"
"3 , 6 , 1552.687896580399"
"3 , 7 , 81.47520765875653"
"3 , 8 , 191.811875198126"
"3 , 9 , 62.987478313979935"
"3 , 10 , 71.51881442810709"
"3 , 11 , 1700.9460394281214"
"3 , 12 , 588.9999358522036"
"4 , 1 , 100"
"4 , 2 , 3.358856925137739"
"4 , 3 , 109.971672377172"
"4 , 4 , 74.08529529767038"
"4 , 5 , 45.22214736898592"
"4 , 6 , 1552.687896580399"
"4 , 7 , 345.6668604897048"
"4 , 8 , 97.14801660888796"
"4 , 9 , 58.90941806380074"
"4 , 10 , 393.01217241613625"
"4 , 11 , 1700.9460394281214"
"4 , 12 , 188.51615862559825"
"5 , 1 , 100"
"5 , 2 , 100"
"5 , 3 , 109.971672377172"
"5 , 4 , 74.08529529767038"
"5 , 5 , 45.22214736898592"
"5 , 6 , 1552.687896580399"
"5 , 7 , 345.6668604897048"
"5 , 8 , 97.14801660888796"
"5 , 9 , 3528.0483772819484"
"5 , 10 , 71.51881442810709"
"5 , 11 , 1700.9460394281214"
"5 , 12 , 188.51615862559825"
"6 , 1 , 100"
"6 , 2 , 100"
"6 , 3 , 98.52076054522428"
"6 , 4 , 12.050418440006858"
"6 , 5 , 45.22214736898592"
"6 , 6 , 1552.687896580399"
"6 , 7 , 345.6668604897048"
"6 , 8 , 592.1587568771625"
"6 , 9 , 58.90941806380074"
"6 , 10 , 635.5417568477623"
"6 , 11 , 1700.9460394281214"
"6 , 12 , 85.43426052343133"
"7 , 1 , 100"
"7 , 2 , 100"
"7 , 3 , 100"
"7 , 4 , 12.050418440006858"
"7 , 5 , 38.34237248817287"
"7 , 6 , 1552.687896580399"
"7 , 7 , 345.6668604897048"
"7 , 8 , 592.1587568771625"
"7 , 9 , 58.90941806380074"
"7 , 10 , 2223.9407599663045"
"7 , 11 , 1700.9460394281214"
"7 , 12 , 188.51615862559825"
"8 , 1 , 100"
"8 , 2 , 100"
"8 , 3 , 100"
"8 , 4 , 121.05426575209614"
"8 , 5 , 38.34237248817287"
"8 , 6 , 1552.687896580399"
"8 , 7 , 345.6668604897048"
"8 , 8 , 592.1587568771625"
"8 , 9 , 58.90941806380074"
"8 , 10 , 635.5417568477623"
"8 , 11 , 1700.9460394281214"
"8 , 12 , 85.43426052343133"
"9 , 1 , 100"
"9 , 2 , 100"
"9 , 3 , 100"
"9 , 4 , 100"
"9 , 5 , 38.34237248817287"
"9 , 6 , 1552.687896580399"
"9 , 7 , 345.6668604897048"
"9 , 8 , 592.1587568771625"
"9 , 9 , 156.88473471271774"
"9 , 10 , 635.5417568477623"
"9 , 11 , 1700.9460394281214"
"9 , 12 , 188.51615862559825"
"10 , 1 , 100"
"10 , 2 , 100"
"10 , 3 , 100"
"10 , 4 , 100"
"10 , 5 , 38.34237248817287"
"10 , 6 , 3.4691327507458296"
"10 , 7 , 345.6668604897048"
"10 , 8 , 592.1587568771625"
"10 , 9 , 156.88473471271774"
"10 , 10 , 635.5417568477623"
"10 , 11 , 1700.9460394281214"
"10 , 12 , 188.51615862559825"
"11 , 1 , 100"
"11 , 2 , 100"
"11 , 3 , 100"
"11 , 4 , 100"
"11 , 5 , 100"
"11 , 6 , 3.4691327507458296"
"11 , 7 , 345.6668604897048"
"11 , 8 , 592.1587568771625"
"11 , 9 , 156.88473471271774"
"11 , 10 , 38.898870198885064"
"11 , 11 , 1700.9460394281214"
"11 , 12 , 188.51615862559825"
"12 , 1 , 100"
"12 , 2 , 100"
"12 , 3 , 100"
"12 , 4 , 100"
"12 , 5 , 100"
"12 , 6 , 1552.687896580399"
"12 , 7 , 345.6668604897048"
"12 , 8 , 592.1587568771625"
"12 , 9 , 156.88473471271774"
"12 , 10 , 38.898870198885064"
"12 , 11 , 1700.9460394281214"
"12 , 12 , 188.51615862559825"
